mine_id,mine_name,state,district,date,year,month,planned_production_tonnes,actual_production_tonnes,production_variance_tonnes,production_achievement_pct,equipment_available_count,equipment_operating_count,equipment_downtime_hours,maintenance_hours,breakdown_count,planned_blasts,completed_blasts,blast_delay_hours,blast_delay_count,mine_depth_m,active_faces,working_hours,shift_hours,ore_grade_pct,ore_tonnage_available,rainfall_mm,temperature_c,soil_moisture,ventilation_delay_hours,ventilation_clearance_delay_hours,power_outage_hours,transport_delay_hours,manpower_available,production_lag_1d_tonnes,production_rolling_7d_mean_tonnes,production_target_tonnes,target_achieved,shortfall_tonnes,shortfall_pct,shortfall_flag,absenteeism_pct,overtime_hours,labor_strike_flag,steel_plant_demand_tonnes,manganese_price_index,order_backlog_tonnes,forest_clearance_status,pollution_shutdown_flag,mining_permission_active,is_monsoon_season_flag,road_condition_index,rake_availability_count,production_lag_1,production_rolling_7,equipment_utilization,downtime_ratio,blast_completion_rate,blast_delay_ratio,day_of_year
MOIL-09,Tirodi,Madhya Pradesh,Balaghat,2015-02-01,2015,2,9788.1,9936.1,148.0,101.51,10,10,8.4,51.6,2,10,10,0.0,0,65,5,239.2,8.0,39.69,18380.4,20.0,24.8,0.187,0.3,0.2,5.1,2.1,433,9738.3,9837.2,9788.1,1,0.0,0.0,0,3.67,88.1,0,10300.8,100.61,282.4,Active,0,1,0,79.7,10,9738.3,9738.3,1.0,1.05,1.0,0.0,32
MOIL-08,Sitapatore,Madhya Pradesh,Balaghat,2015-02-01,2015,2,6851.7,6681.9,-169.8,97.52,9,8,1.0,47.9,0,9,9,0.0,0,55,4,239.2,8.0,38.52,14948.1,15.1,24.5,0.191,0.1,0.1,1.9,2.2,375,6669.8,6675.9,6851.7,0,169.8,2.48,0,5.19,99.5,0,5821.0,92.51,0.0,Active,0,1,0,84.0,10,6669.8,6669.8,0.8888888888888888,0.125,1.0,0.0,32
MOIL-06,Dongri Buzurg,Maharashtra,Bhandara,2015-02-01,2015,2,4894.1,4904.6,10.5,100.22,8,7,1.3,38.3,0,5,5,0.0,0,60,4,239.2,8.0,39.55,10601.6,19.6,24.6,0.196,0.1,0.0,3.3,2.0,314,4650.2,4777.4,4894.1,1,0.0,0.0,0,3.52,99.9,0,5011.2,104.34,69.2,Active,0,1,0,84.2,11,4650.2,4650.2,0.875,0.1625,1.0,0.0,32
MOIL-03,Kandri,Maharashtra,Nagpur,2015-02-01,2015,2,9788.1,9290.8,-497.3,94.92,10,9,9.3,50.7,1,13,13,0.0,0,245,5,239.2,8.0,39.18,15879.5,17.4,23.8,0.18,2.3,1.2,1.8,0.8,449,9330.2,9310.5,9788.1,0,497.3,5.08,1,5.02,96.0,0,9155.7,97.96,0.0,Active,0,1,0,79.7,10,9330.2,9330.2,0.9,1.1625,1.0,0.0,32
MOIL-10,Ukwa,Madhya Pradesh,Balaghat,2015-02-01,2015,2,11745.8,11188.1,-557.7,95.25,11,10,19.2,52.0,3,17,17,0.0,0,220,5,239.2,8.0,38.94,19472.1,18.3,24.2,0.192,2.2,1.4,4.1,0.5,479,11034.4,11111.2,11745.8,0,557.7,4.75,0,5.49,105.9,0,11598.4,97.6,320.8,Active,0,1,0,80.4,9,11034.4,11034.4,0.9090909090909091,2.4,1.0,0.0,32
MOIL-07,Balaghat,Madhya Pradesh,Balaghat,2015-02-01,2015,2,21533.9,21217.9,-316.0,98.53,15,15,6.8,54.4,1,17,17,0.0,0,383,7,239.2,8.0,41.59,40632.6,16.6,24.6,0.201,2.2,1.0,2.6,0.3,763,20883.7,21050.8,21533.9,0,316.0,1.47,0,4.79,107.6,0,19507.0,108.52,0.0,Active,0,1,0,82.3,10,20883.7,20883.7,1.0,0.85,1.0,0.0,32
MOIL-05,Chikla,Maharashtra,Bhandara,2015-02-01,2015,2,7830.5,7493.4,-337.1,95.69,9,9,1.3,41.9,0,12,12,0.0,0,160,5,239.2,8.0,37.95,14732.7,18.9,24.6,0.196,2.2,1.4,1.9,0.4,381,7630.7,7562.0,7830.5,0,337.1,4.3,0,4.66,96.5,0,7382.1,96.58,0.0,Active,0,1,0,85.2,9,7630.7,7630.7,1.0,0.1625,1.0,0.0,32
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-03-01,2015,3,8809.3,8594.8,-214.5,97.56,10,10,1.0,39.9,0,16,16,0.0,0,210,5,239.2,8.0,40.69,16356.5,15.7,30.2,0.169,2.2,0.8,2.3,0.3,428,8531.8,8592.9,8809.3,0,214.5,2.43,0,5.27,94.9,0,9000.5,99.73,404.7,Active,0,1,0,80.2,10,8531.8,8592.0,1.0,0.125,1.0,0.0,60
MOIL-03,Kandri,Maharashtra,Nagpur,2015-03-01,2015,3,9788.1,9250.1,-538.0,94.5,10,9,17.0,49.7,2,12,12,0.0,0,245,5,239.2,8.0,42.06,17728.5,16.8,29.3,0.2,2.3,1.6,3.0,0.5,446,9290.8,9290.4,9788.1,0,538.0,5.5,1,4.34,94.3,0,9507.0,102.18,145.6,Active,0,1,0,83.8,11,9290.8,9310.5,0.9,2.125,1.0,0.0,60
MOIL-09,Tirodi,Madhya Pradesh,Balaghat,2015-03-01,2015,3,9788.1,9428.0,-360.1,96.32,10,9,9.0,50.0,2,9,9,0.0,0,65,5,239.2,8.0,39.77,19728.3,15.9,28.8,0.194,0.1,0.0,1.7,2.0,443,9936.1,9700.8,9788.1,0,360.1,3.68,0,3.93,92.4,0,9656.3,95.74,208.6,Active,0,1,0,78.4,11,9936.1,9837.2,0.9,1.125,1.0,0.0,60
MOIL-05,Chikla,Maharashtra,Bhandara,2015-03-01,2015,3,7830.5,7589.2,-241.3,96.92,9,9,0.9,45.4,0,13,13,0.0,0,160,5,239.2,8.0,41.79,15155.2,13.0,30.3,0.189,2.0,1.1,3.7,0.4,386,7493.4,7571.1,7830.5,0,241.3,3.08,0,4.88,102.5,0,6674.6,102.17,0.0,Active,0,1,0,85.5,10,7493.4,7562.049999999999,1.0,0.1125,1.0,0.0,60
MOIL-08,Sitapatore,Madhya Pradesh,Balaghat,2015-03-01,2015,3,6851.7,6457.0,-394.7,94.24,9,9,7.8,38.5,1,9,8,3.4,1,55,4,239.2,8.0,38.36,11613.0,11.8,29.4,0.172,0.2,0.1,3.9,1.9,371,6681.9,6602.9,6851.7,0,394.7,5.76,1,5.17,80.4,0,6022.0,103.36,0.0,Active,0,1,0,81.0,10,6681.9,6675.85,1.0,0.975,0.8888888888888888,0.425,60
MOIL-10,Ukwa,Madhya Pradesh,Balaghat,2015-03-01,2015,3,11745.8,11807.2,61.4,100.52,11,11,7.7,48.7,1,13,13,0.0,0,220,5,239.2,8.0,38.75,21252.4,14.9,29.7,0.191,2.3,0.9,3.5,0.3,484,11188.1,11343.2,11745.8,1,0.0,0.0,0,2.27,111.7,0,12286.6,104.72,316.5,Active,0,1,0,82.9,11,11188.1,11111.25,1.0,0.9625,1.0,0.0,60
MOIL-07,Balaghat,Madhya Pradesh,Balaghat,2015-03-01,2015,3,21533.9,20397.5,-1136.4,94.72,15,14,8.7,51.4,1,20,20,0.0,0,383,7,239.2,8.0,42.08,35130.1,13.7,29.2,0.185,2.3,1.3,1.5,0.6,747,21217.9,20833.0,21533.9,0,1136.4,5.28,1,3.93,104.6,0,19331.2,102.45,0.0,Active,0,1,0,84.2,10,21217.9,21050.800000000003,0.9333333333333333,1.0875,1.0,0.0,60
MOIL-02,Gumgaon,Maharashtra,Nagpur,2015-03-01,2015,3,7830.5,7582.9,-247.6,96.84,9,8,5.6,48.9,1,11,11,0.0,0,195,5,239.2,8.0,38.32,15484.2,16.0,29.2,0.194,2.1,1.5,3.5,0.3,388,7343.0,7424.8,7830.5,0,247.6,3.16,0,4.14,106.1,0,6670.3,101.4,0.0,Active,0,1,0,79.2,10,7343.0,7345.8,0.8888888888888888,0.7,1.0,0.0,60
MOIL-04,Munsar,Maharashtra,Bhandara,2015-03-01,2015,3,8809.3,8452.4,-356.9,95.95,10,10,18.1,47.8,2,13,13,0.0,0,180,5,239.2,8.0,38.8,15570.5,12.7,29.3,0.193,2.2,1.4,3.5,0.2,427,8542.9,8550.8,8809.3,0,356.9,4.05,0,4.82,108.8,0,8389.1,94.58,0.0,Active,0,1,0,81.5,9,8542.9,8599.95,1.0,2.2625,1.0,0.0,60
MOIL-06,Dongri Buzurg,Maharashtra,Bhandara,2015-03-01,2015,3,4894.1,4821.7,-72.4,98.52,8,8,1.0,35.2,0,9,9,0.0,0,60,4,239.2,8.0,36.9,8910.6,14.5,30.6,0.174,0.2,0.1,5.0,2.1,300,4904.6,4792.2,4894.1,0,72.4,1.48,0,4.63,94.5,0,4108.0,94.36,0.0,Active,0,1,0,80.3,9,4904.6,4777.4,1.0,0.125,1.0,0.0,60
MOIL-04,Munsar,Maharashtra,Bhandara,2015-04-01,2015,4,8408.9,7946.1,-462.8,94.5,10,10,6.3,45.2,1,13,13,0.0,0,180,5,239.2,8.0,39.3,17156.4,7.6,35.1,0.176,2.1,1.0,3.0,0.1,411,8452.4,8313.8,8408.9,0,462.8,5.5,1,2.57,107.6,0,8256.3,99.91,294.0,Active,0,1,0,82.3,10,8452.4,8550.766666666666,1.0,0.7875,1.0,0.0,91
MOIL-10,Ukwa,Madhya Pradesh,Balaghat,2015-04-01,2015,4,11211.9,10632.1,-579.8,94.83,11,10,0.5,53.9,0,15,15,0.0,0,220,5,239.2,8.0,40.17,23009.6,8.2,35.8,0.169,2.0,1.3,3.9,0.3,482,11807.2,11209.1,11211.9,0,579.8,5.17,1,5.52,92.5,0,9094.2,103.54,0.0,Active,0,1,0,86.9,9,11807.2,11343.233333333332,0.9090909090909091,0.0625,1.0,0.0,91
MOIL-06,Dongri Buzurg,Maharashtra,Bhandara,2015-04-01,2015,4,4671.6,4585.7,-85.9,98.16,8,8,6.8,47.7,2,6,6,0.0,0,60,4,239.2,8.0,38.38,7498.7,9.1,34.0,0.162,0.2,0.1,2.3,1.7,322,4821.7,4770.7,4671.6,0,85.9,1.84,0,5.26,115.1,0,4014.8,98.32,0.0,Active,0,1,0,88.4,11,4821.7,4792.166666666667,1.0,0.85,1.0,0.0,91
MOIL-08,Sitapatore,Madhya Pradesh,Balaghat,2015-04-01,2015,4,6540.3,6454.1,-86.2,98.68,9,8,0.6,42.0,0,9,9,0.0,0,55,4,239.2,8.0,41.74,11276.6,8.4,34.3,0.158,0.1,0.1,2.0,1.7,362,6457.0,6531.0,6540.3,0,86.2,1.32,0,2.93,94.1,0,6140.1,100.33,0.0,Active,0,1,0,86.4,9,6457.0,6602.900000000001,0.8888888888888888,0.075,1.0,0.0,91
MOIL-09,Tirodi,Madhya Pradesh,Balaghat,2015-04-01,2015,4,9343.2,9140.2,-203.0,97.83,10,10,8.9,44.9,1,10,10,0.0,0,65,5,239.2,8.0,40.53,15336.5,10.7,35.0,0.167,0.1,0.0,3.7,1.7,450,9428.0,9501.4,9343.2,0,203.0,2.17,0,4.56,92.5,0,9557.1,98.82,268.3,Active,0,1,0,79.9,9,9428.0,9700.800000000001,1.0,1.1125,1.0,0.0,91
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-04-01,2015,4,8408.9,8338.6,-70.3,99.16,10,9,0.5,50.6,0,13,13,0.0,0,210,5,240.0,8.0,37.84,16190.9,7.2,32.8,0.164,2.1,1.3,1.2,0.2,422,8594.8,8488.4,8408.9,0,70.3,0.84,0,5.1,111.0,0,7231.5,97.44,0.0,Active,0,1,0,88.4,10,8594.8,8592.933333333332,0.9,0.0625,1.0,0.0,91
MOIL-05,Chikla,Maharashtra,Bhandara,2015-04-01,2015,4,7474.6,7420.6,-54.0,99.28,9,9,0.6,45.8,0,14,14,0.0,0,160,5,239.2,8.0,38.93,14968.5,8.8,34.2,0.181,2.1,1.2,1.7,0.3,389,7589.2,7501.1,7474.6,0,54.0,0.72,0,3.42,91.4,0,6332.8,103.17,0.0,Active,0,1,0,89.4,11,7589.2,7571.099999999999,1.0,0.075,1.0,0.0,91
MOIL-03,Kandri,Maharashtra,Nagpur,2015-04-01,2015,4,9343.2,9098.2,-245.0,97.38,10,9,0.6,40.2,0,15,15,0.0,0,245,5,239.2,8.0,38.56,16203.8,9.6,34.5,0.184,2.2,0.7,4.1,0.4,451,9250.1,9213.0,9343.2,0,245.0,2.62,0,5.3,101.6,0,9394.8,105.17,242.1,Active,0,1,0,82.0,11,9250.1,9290.366666666667,0.9,0.075,1.0,0.0,91
MOIL-07,Balaghat,Madhya Pradesh,Balaghat,2015-04-01,2015,4,20555.1,20209.9,-345.2,98.32,15,14,27.2,59.6,3,18,18,0.0,0,383,7,239.2,8.0,39.89,33990.6,8.3,34.2,0.181,2.1,0.8,1.7,0.3,746,20397.5,20608.4,20555.1,0,345.2,1.68,0,3.84,97.3,0,17698.9,97.14,0.0,Active,0,1,0,78.3,9,20397.5,20833.033333333336,0.9333333333333333,3.4,1.0,0.0,91
MOIL-02,Gumgaon,Maharashtra,Nagpur,2015-04-01,2015,4,7474.6,7298.7,-175.9,97.65,9,8,18.5,41.4,2,15,15,0.0,0,195,5,239.2,8.0,39.1,11990.2,9.7,34.9,0.189,2.1,1.2,1.5,0.2,395,7582.9,7408.2,7474.6,0,175.9,2.35,0,3.64,101.6,0,6593.5,99.31,0.0,Active,0,1,0,86.5,10,7582.9,7424.833333333333,0.8888888888888888,2.3125,1.0,0.0,91
MOIL-06,Dongri Buzurg,Maharashtra,Bhandara,2015-05-01,2015,5,4449.2,4431.5,-17.7,99.6,8,7,1.1,42.3,0,5,5,0.0,0,60,4,239.2,8.0,36.48,7977.0,16.8,38.1,0.2,0.2,0.1,5.1,2.2,310,4585.7,4613.0,4449.2,0,17.7,0.4,0,3.04,102.4,0,3782.6,104.65,0.0,Active,0,1,0,82.3,11,4585.7,4740.55,0.875,0.1375,1.0,0.0,121
MOIL-04,Munsar,Maharashtra,Bhandara,2015-05-01,2015,5,8008.5,7666.0,-342.5,95.72,10,9,1.1,46.1,0,16,16,0.0,0,180,5,239.2,8.0,37.83,17574.1,17.0,38.1,0.174,2.1,1.1,2.0,0.5,416,7946.1,8021.5,8008.5,0,342.5,4.28,0,5.54,115.5,0,7332.2,99.33,0.0,Active,0,1,0,79.9,10,7946.1,8399.6,0.9,0.1375,1.0,0.0,121
MOIL-08,Sitapatore,Madhya Pradesh,Balaghat,2015-05-01,2015,5,6228.8,5965.3,-263.5,95.77,9,8,14.3,42.5,2,6,5,3.5,1,55,4,239.2,8.0,38.82,10924.3,15.9,37.5,0.187,0.2,0.1,3.2,2.1,353,6454.1,6292.1,6228.8,0,263.5,4.23,0,2.74,91.7,0,5859.5,101.39,0.0,Active,0,1,0,81.5,11,6454.1,6565.7,0.8888888888888888,1.7875,0.8333333333333334,0.4375,121
MOIL-05,Chikla,Maharashtra,Bhandara,2015-05-01,2015,5,7118.6,6680.7,-437.9,93.85,9,8,15.0,47.1,3,13,13,0.0,0,160,5,239.2,8.0,38.59,11550.9,15.8,37.2,0.191,2.3,1.5,3.2,0.5,398,7420.6,7230.2,7118.6,0,437.9,6.15,1,5.33,97.1,0,5806.4,102.31,0.0,Active,0,1,0,81.1,10,7420.6,7533.475,0.8888888888888888,1.875,1.0,0.0,121
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-05-01,2015,5,8008.5,7649.5,-359.0,95.52,10,10,10.4,45.0,2,14,14,0.0,0,210,5,239.2,8.0,41.42,13723.2,16.4,37.6,0.198,2.3,1.5,5.0,0.3,415,8338.6,8194.3,8008.5,0,359.0,4.48,0,4.46,98.1,0,6753.8,101.66,0.0,Active,0,1,0,80.0,11,8338.6,8529.35,1.0,1.3,1.0,0.0,121
MOIL-09,Tirodi,Madhya Pradesh,Balaghat,2015-05-01,2015,5,8898.3,9130.3,232.0,102.61,10,10,1.0,42.4,0,9,9,0.0,0,65,5,239.2,8.0,36.05,16568.3,15.7,37.9,0.188,0.1,0.0,4.2,1.7,434,9140.2,9232.8,8898.3,1,0.0,0.0,0,4.22,85.6,0,8282.2,97.83,0.0,Active,0,1,0,93.5,10,9140.2,9560.65,1.0,0.125,1.0,0.0,121
MOIL-07,Balaghat,Madhya Pradesh,Balaghat,2015-05-01,2015,5,19576.3,18965.2,-611.1,96.88,15,14,9.8,58.2,1,21,21,0.0,0,383,7,239.2,8.0,41.71,41115.0,17.2,37.4,0.199,2.3,1.3,5.2,0.7,758,20209.9,19857.5,19576.3,0,611.1,3.12,0,4.64,94.3,0,16859.2,103.84,0.0,Active,0,1,0,87.1,9,20209.9,20677.25,0.9333333333333333,1.225,1.0,0.0,121
MOIL-02,Gumgaon,Maharashtra,Nagpur,2015-05-01,2015,5,7118.6,6969.0,-149.6,97.9,9,8,1.1,45.2,0,15,15,0.0,0,195,5,239.2,8.0,39.55,14375.2,17.0,36.9,0.199,2.3,1.2,4.4,0.4,382,7298.7,7283.5,7118.6,0,149.6,2.1,0,4.28,100.9,0,6323.7,101.15,0.0,Active,0,1,0,78.3,11,7298.7,7393.3,0.8888888888888888,0.1375,1.0,0.0,121
MOIL-03,Kandri,Maharashtra,Nagpur,2015-05-01,2015,5,8898.3,8763.2,-135.1,98.48,10,10,1.0,46.5,0,12,11,2.7,1,245,5,239.2,8.0,38.88,16679.7,14.5,37.2,0.193,2.2,1.5,4.4,0.5,450,9098.2,9037.2,8898.3,0,135.1,1.52,0,4.66,111.9,0,8495.2,99.42,0.0,Active,0,1,0,83.8,11,9098.2,9242.325,1.0,0.125,0.9166666666666666,0.3375,121
MOIL-10,Ukwa,Madhya Pradesh,Balaghat,2015-05-01,2015,5,10678.0,10000.2,-677.8,93.65,11,10,9.8,53.3,2,17,17,0.0,0,220,5,239.2,8.0,39.46,20185.4,17.4,37.6,0.18,2.2,1.2,2.8,0.6,479,10632.1,10813.2,10678.0,0,677.8,6.35,1,4.79,83.0,0,9692.1,107.43,0.0,Active,0,1,0,78.2,10,10632.1,11165.45,0.9090909090909091,1.225,1.0,0.0,121
MOIL-04,Munsar,Maharashtra,Bhandara,2015-06-01,2015,6,6807.2,6457.9,-349.3,94.87,10,9,16.8,44.0,2,12,12,0.0,0,180,4,232.0,8.0,38.66,14942.1,144.3,31.6,0.508,4.6,2.2,6.6,5.8,427,7666.0,7356.7,6807.2,0,349.3,5.13,1,6.56,81.9,0,6677.7,94.69,194.9,Active,0,1,1,69.0,7,7666.0,8252.880000000001,0.9,2.1,1.0,0.0,152
MOIL-06,Dongri Buzurg,Maharashtra,Bhandara,2015-06-01,2015,6,3781.8,3349.8,-432.0,88.58,8,6,43.5,46.9,4,7,7,0.0,0,60,3,232.0,8.0,40.17,7394.0,152.2,31.3,0.532,2.0,0.7,6.2,5.2,311,4431.5,4122.3,3781.8,0,432.0,11.42,1,7.01,78.3,0,3318.0,101.14,0.0,Active,0,1,1,63.3,7,4431.5,4678.74,0.75,5.4375,1.0,0.0,152
MOIL-09,Tirodi,Madhya Pradesh,Balaghat,2015-06-01,2015,6,7563.6,7177.1,-386.5,94.89,10,7,26.5,47.0,2,6,6,0.0,0,65,4,231.2,8.0,38.0,13959.9,161.3,31.5,0.548,2.5,0.8,6.9,6.3,434,9130.3,8482.5,7563.6,0,386.5,5.11,1,7.26,87.5,0,6256.7,100.82,0.0,Active,0,1,1,61.7,9,9130.3,9474.58,0.7,3.3125,1.0,0.0,152
MOIL-07,Balaghat,Madhya Pradesh,Balaghat,2015-06-01,2015,6,16639.8,15283.3,-1356.5,91.85,15,14,41.1,60.9,4,21,21,0.0,0,383,6,229.6,8.0,39.76,29461.9,191.6,32.1,0.55,2.9,1.1,7.2,4.4,744,18965.2,18152.8,16639.8,0,1356.5,8.15,1,6.03,87.3,0,13947.9,92.3,0.0,Active,0,1,1,62.0,7,18965.2,20334.840000000004,0.9333333333333333,5.1375,1.0,0.0,152
MOIL-02,Gumgaon,Maharashtra,Nagpur,2015-06-01,2015,6,6050.8,5588.2,-462.6,92.35,9,8,39.2,47.7,7,15,15,0.0,0,195,4,231.2,8.0,39.66,10782.4,160.9,31.8,0.55,2.6,0.9,6.6,2.9,382,6969.0,6618.6,6050.8,0,462.6,7.65,1,8.45,73.9,0,5298.7,102.4,0.0,Active,0,1,1,66.9,9,6969.0,7308.44,0.8888888888888888,4.9,1.0,0.0,152
MOIL-05,Chikla,Maharashtra,Bhandara,2015-06-01,2015,6,6050.8,5665.5,-385.3,93.63,9,7,15.7,39.1,1,11,11,0.0,0,160,4,231.2,8.0,39.81,11461.5,158.3,32.2,0.55,3.5,2.1,6.3,3.2,387,6680.7,6588.9,6050.8,0,385.3,6.37,1,6.22,77.6,0,5155.2,103.19,0.0,Active,0,1,1,62.8,9,6680.7,7362.92,0.7777777777777778,1.9625,1.0,0.0,152
MOIL-10,Ukwa,Madhya Pradesh,Balaghat,2015-06-01,2015,6,9076.3,8333.7,-742.6,91.82,11,10,20.1,47.0,2,15,15,0.0,0,220,4,230.4,8.0,40.33,14759.8,183.3,31.5,0.55,4.9,2.9,6.7,6.2,493,10000.2,9655.3,9076.3,0,742.6,8.18,1,5.77,80.0,0,7878.6,101.44,0.0,Active,0,1,1,61.5,8,10000.2,10932.4,0.9090909090909091,2.5125,1.0,0.0,152
